Week,Phase,EmissionRate,LPPercent,SinglePercent,VictoryPercent,DevPercent,LPEmission,SingleEmission,VictoryEmission,DevEmission,TotalEmission
1,1,6600000,6500,1500,1750,250,4290000,990000,1155000,165000,6600000
2,1,6600000,6500,1500,1750,250,4290000,990000,1155000,165000,6600000
3,1,6600000,6500,1500,1750,250,4290000,990000,1155000,165000,6600000
4,1,6600000,6500,1500,1750,250,4290000,990000,1155000,165000,6600000
5,2,5470000,6200,1200,2350,250,3391400,656400,1285450,136750,5470000
6,2,5415300,6200,1200,2350,250,3357486,649836,1272595,135382,5415299
7,2,5361147,6200,1200,2350,250,3323911,643337,1259869,134028,5361145
8,2,5307535,6200,1200,2350,250,3290671,636904,1247270,132688,5307533
9,2,5254459,6200,1200,2350,250,3257764,630535,1234797,131361,5254457
10,2,5201914,6200,1200,2350,250,3225186,624229,1222449,130047,5201911
11,2,5149894,6200,1200,2350,250,3192934,617987,1210225,128747,5149893
12,2,5098395,6200,1200,2350,250,3161004,611807,1198122,127459,5098392
13,2,5047411,5800,700,3250,250,2927498,353318,1640408,126185,5047409
14,2,4996936,5800,700,3250,250,2898222,349785,1624004,124923,4996934
15,2,4946966,5800,700,3250,250,2869240,346287,1607763,123674,4946964
16,2,4897496,5800,700,3250,250,2840547,342824,1591686,122437,4897494
17,2,4848521,5800,700,3250,250,2812142,339396,1575769,121213,4848520
18,2,4800035,5800,700,3250,250,2784020,336002,1560011,120000,4800033
19,2,4752034,5800,700,3250,250,2756179,332642,1544411,118800,4752032
20,2,4704513,5800,700,3250,250,2728617,329315,1528966,117612,4704510
21,2,4657467,5800,700,3250,250,2701330,326022,1513676,116436,4657464
22,2,4610892,5800,700,3250,250,2674317,322762,1498539,115272,4610890
23,2,4564783,5800,700,3250,250,2647574,319534,1483554,114119,4564781
24,2,4519135,5800,700,3250,250,2621098,316339,1468718,112978,4519133
25,2,4473943,5800,700,3250,250,2594886,313176,1454031,111848,4473941
26,2,4429203,5800,700,3250,250,2568937,310044,1439490,110730,4429201
27,2,4384910,5500,200,4050,250,2411700,87698,1775888,109622,4384908
28,2,4341060,5500,200,4050,250,2387583,86821,1758129,108526,4341059
29,2,4297649,5500,200,4050,250,2363706,85952,1740547,107441,4297646
30,2,4254672,5500,200,4050,250,2340069,85093,1723142,106366,4254670
31,2,4212125,5500,200,4050,250,2316668,84242,1705910,105303,4212123
32,2,4170003,5500,200,4050,250,2293501,83400,1688851,104250,4170002
33,2,4128302,5500,200,4050,250,2270566,82566,1671962,103207,4128301
34,2,4087018,5500,200,4050,250,2247859,81740,1655242,102175,4087016
35,2,4046147,5500,200,4050,250,2225380,80922,1638689,101153,4046144
36,2,4005685,5500,200,4050,250,2203126,80113,1622302,100142,4005683
